"id","message","contract_part","proposal_part_a","proposal_part_b","payed_at","contract_id","user_id","created_at","updated_at","id","name","email","wallet","birth_date","gender","location","category","show_fullname","accepted_terms","accepted_disclaimer","created_at","updated_at"
54,NULL,"0xd9bf2E9f604a82cB366A47De50eb45ea86E8dd8a",0.000000000000000000,50.000000000000000000,NULL,199,NULL,"2020-04-04 16:41:45","2020-04-04 16:41:45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,"The freelancer was expected to provide equipment suitable for a cafe, design was to match the pictures (uploaded in the shared folder). Although the pictures and physical prototype inspection were both satisfying. However, the final product delivered does not, match. The restaurant logo was not visible in every furniture as agreed upon and the logo was not imprinted properly on the furniture. As agreed upon, the cinnamon roll shall be brown, white and glossy, and the C shaped cinnamon shall curl out to spell Cinna’, however with the finished product the cinnamon roll was not glossy, and the C shaped curl was to curl sufficiently to spell Cinna.
Due to the time constraint we cannot find another service provider. We find it fair to pay half of the money to Dash Bake ‘n’ Ready Furnishings.
","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",25.000000000000000000,25.000000000000000000,NULL,199,45,"2020-04-04 16:41:45","2020-04-04 16:41:45",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
56,"I believe the service fulfils every clause of the contract, and that the customer is clearly trying to attack me by using subjective arguments to check the quality of the equipment and the design of the logo. The abstract of the logo sent to us is the same as that which was produced on the equipment. Under the contract payment terms and schedule there has been leeway given to us the freelancers in respect to an extra amount rewarded to ‘any other changes’ and I believe due to the broadness of the statement I require full payment. 
","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,50.000000000000000000,NULL,199,63,"2020-04-04 16:42:27","2020-04-04 16:42:27",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
57,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,40.000000000000000000,NULL,200,NULL,"2020-04-04 16:51:46","2020-04-04 16:51:46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,"Due to several reviews by the client of the digital copies, the printing of the physical album was delayed. As a result, the physical album was not delivered until the final day of the agreed delivery period. However, when the photographer attempted delivery, the customer was unavailable for receipt of the physical album. The customer argues that the photographer was to attempt the delivery in the early afternoon when they were available yet the photographer only arrived at their home in the late afternoon. Because the album was redelivered the following day, the customer wants to reduce the outstanding payment by 10% for a late delivery of the photo album
","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",36.000000000000000000,4.000000000000000000,NULL,200,45,"2020-04-04 16:51:46","2020-04-04 16:51:46",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
59,"The photographer believes that the customer’s are to blame for the late delivery. Although the contract permitted his use of creative discretion in comprehending his favourite photos in the album, the couple kept redacting the album, ultimately excluding all his preferred photographs. In the end, he had insufficient time to not only print and bind the photo album, but to deliver it in the early afternoon of the day.  He believes he should be paid the outstanding amount in full, despite the delivering the album a day late and that the couple is being obtuse. ","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,40.000000000000000000,NULL,200,63,"2020-04-04 16:52:46","2020-04-04 16:52:46",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
60,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,20.000000000000000000,NULL,201,NULL,"2020-04-04 17:01:46","2020-04-04 17:01:46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,"[In the wake of a strain of avian flu that was especially devastasting for ducks, Ducks ‘R Us Ltd. entered into an agreement with Lord Brain to supply 1000 ducks of the species
Rubber Duckies for the fixed amount of €100,000.00. Lord Brain had chosen Ducks ‘R Us Ltd. as it was not affected by the strain of avian flu as where other providers were. Ducks ‘R Us Ltd. was aware of the strain but did not take any precautionary measures. Lord Brain was under the assumption the seller was not affected precisely because it had taken precautionary measures.]  

 When entering into the agreement, I (Lord Brain) was under the impression the supplier was prepared for this strain of avian flu, hence why I chose Ducks ‘R Us Ltd. over other suppliers. €100,000.00 was deposited into escrow on March 27th 2020 in expectance of receiving these ducks by September 23rd 2020, 180 days after signing. The ducks arrived 20 days after the agreed upon date as per clause 3.1 but the locusts had come on October 1st and had already eaten all of my crops. I no longer need the ducks to accomplish their purpose of eating locusts and refuse to accept the delivery.
","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",20.000000000000000000,0.000000000000000000,NULL,201,45,"2020-04-04 17:01:46","2020-04-04 17:01:46",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
62,"Ducks ‘R Us Ltd. dutifully notified the buyer of a force majeure event, all its ducks dying to the strain 30 days into the agreement, and consequently could not meet its deadline. Yet, in accordance with clause 16.1, we took all reasonable steps to remedy the situation and delivered the ducks only 20 days after the agreed upon date. The situation of the lost crops is unfortunate and we feel terrible about it, but we should not be held responsible for missing the deadline due to a force majeure event.






","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,20.000000000000000000,NULL,201,63,"2020-04-04 17:02:16","2020-04-04 17:02:16",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
63,"Ducks ‘R Us Ltd. dutifully notified the buyer of a force majeure event, all its ducks dying to the strain 30 days into the agreement, and consequently could not meet its deadline. Yet, in accordance with clause 16.1, we took all reasonable steps to remedy the situation and delivered the ducks only 20 days after the agreed upon date. The situation of the lost crops is unfortunate and we feel terrible about it, but we should not be held responsible for missing the deadline due to a force majeure event.






","0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,20.000000000000000000,NULL,201,63,"2020-04-04 17:02:36","2020-04-04 17:02:36",63,NULL,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",NULL,NULL,NULL,NULL,1,0,1,"2020-01-14 16:12:58","2020-01-14 16:12:58"
64,NULL,"0xd9bf2e9f604a82cb366a47de50eb45ea86e8dd8a",0.000000000000000000,100.000000000000000000,NULL,202,NULL,"2020-04-04 17:12:45","2020-04-04 17:12:45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,"1. The Seller did not comply with the obligations set forth in Article 4.1. of the Contract. More specifically, the goods delivered were evidently not fit for resale (the established purpose for
which the goods were being sold, as per Article 4.1.2). Clearly, the claimant will not be able to resell four of the books as several pages within each book are missing. Moreover, Schwarz
clearly and reasonably expected such books to be in a condition proper for normal use of such books. The claimant argues that these books serve no purpose if not all the pages are there.

2. The Seller had every intention of selling defective books by purposefully tearing up pages in the middle and end of books, in order for the defect not to be perceived at first glance.
3. The defect arising out of conformity existed at the time of delivery, thus the seller should be fully liable.
4. The buyer also claims damage to its business by not being able to provide his loyal customers with readings that would have greatly expanded the knowledge of whoever wished to read
such fascinating books.
5. Moreover, whether the defect appeared because of the delivery service’s fault does not exclude the Seller’s liability.
6. On a final note, Schwarz sustains that the Seller acted negligently, with lack of reasonable care when performing his obligations. Schwarz claims breach of contract from Article 4.3. of The Contract.
7. Evidence provided by the Buyer:
a. Images of the goods in question, showing the damage (ripped pages), timestamped (16:07, 29/03/2020).
","0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",33.000000000000000000,67.000000000000000000,NULL,202,45,"2020-04-04 17:12:45","2020-04-04 17:12:45",45,NULL,NULL,"0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36",NULL,NULL,NULL,NULL,1,0,1,"2019-11-21 11:37:40","2019-11-21 11:37:40"
